Wait rate;Signal diffusion;Iterations;Mean size;Mean distance;Number of cluster;Time
1.01;1;400000;60.908484848484854;35.6505542285053;9.8;0
1.01;2;400000;85.9950303030303;40.023165230871754;10.16;0
1.01;3;400000;80.94294545454545;39.81260041503851;11.431999999999999;0
1.01;4;400000;104.86358909090909;36.28135010599475;9.086400000000001;0
1.01;5;400000;106.77382892929293;31.83758011117621;9.01728;0
1.01;6;400000;115.60190864300145;37.99110578229417;8.403456;0
1.01;7;400000;106.9830801412987;31.193056115338987;8.8806912;0
1.01;8;400000;96.66070693735065;31.03293053507965;10.17613824;0
1.01;9;400000;94.53214138747013;33.12693295693094;10.035227648;0
1.01;10;400000;86.0016419527077;28.703168273496726;11.407045529600001;0
1.01;11;400000;92.53568192589506;27.65377056929912;10.68140910592;0
1.01;12;400000;85.55435860740123;27.916707168562453;11.136281821184;0
1.01;13;400000;84.07253838814691;30.40393789564871;11.2272563642368;0
1.01;14;400000;88.07006323318494;27.662926397088107;10.84545127284736;0
